location,parameter,dss file,dss path
Folsom Dyke 8,Wind Speed,forecast/simGroups/FTestShort/bc.dss,/MR Am.-Folsom Lake/Dyke 8 (FLD)-Wind Speed/Speed-Wind//1Hour/Apr17-M-2011/
Folsom Dyke 8,Wind Direction,forecast/simGroups/FTestShort/bc.dss,/MR Am.-Folsom Lake/Dyke 8 (FLD)-Wind Direction/Dir-Wind//1Hour/Apr17-M-2011/
Fair Oaks,Air Temperature,forecast/simGroups/FTestShort/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Air Temp/Temp-Air//1Hour/Apr17-M-2011/
Fair Oaks,DewPoint Temperature,forecast/simGroups/FTestShort/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Dew Point Temp/Temp-DewPoint//1Hour/Apr17-M-2011/
Fair Oaks,Wind Speed,forecast/simGroups/FTestShort/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Wind Speed/Speed-Wind//1Hour/Apr17-M-2011/
Fair Oaks,Wind Direction,forecast/simGroups/FTestShort/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Wind Direction/Dir-Wind//1Hour/Apr17-M-2011/
Mather AFB,Cloudiness,forecast/simGroups/FTestShort/bc.dss,/AMERICAN/MATHER AFB/CLOUD//1HOUR/Apr17-M-2011/
Fair Oaks,Shortwave Radiation,forecast/simGroups/FTestShort/bc.dss,/AMERICAN/FAIR OAKS/SHORTWAVE RADIATION//1HOUR/Apr17-M-2011/
FOLSOM,INFLOW,forecast/simGroups/FTestShort/bc.dss,//FOLSOM/INFLOW//1MON/Apr17-M-2011/
FOLSOM,FLOW-IN,forecast/simGroups/FTestShort/bc.dss,//FOLSOM/FLOW-IN//1DAY/Apr17-M-2011/
FOLSOM,EST. EVAP.,forecast/simGroups/FTestShort/bc.dss,//FOLSOM/EST. EVAP.//1MON/Apr17-M-2011/
FOLSOM,TOTAL RELEASE,forecast/simGroups/FTestShort/bc.dss,//FOLSOM/TOTAL RELEASE//1MON/Apr17-M-2011/
FOLSOM,FLOW-RELEASE,forecast/simGroups/FTestShort/bc.dss,//FOLSOM/FLOW-RELEASE//1HOUR/Apr17-M-2011/
FOLSOM,PUMPING (FP),forecast/simGroups/FTestShort/bc.dss,//FOLSOM/PUMPING (FP)//1MON/Apr17-M-2011/
FOLSOM,FLOW-PUMPING,forecast/simGroups/FTestShort/bc.dss,//FOLSOM/PUMPING (FP)//1DAY/Apr17-M-2011/
FOLSOM,FS CANAL (FSC),forecast/simGroups/FTestShort/bc.dss,//FOLSOM/FS CANAL (FSC)//1MON/Apr17-M-2011/
FOLSOM,FLOW-FSC,forecast/simGroups/FTestShort/bc.dss,//FOLSOM/FS CANAL (FSC)//1DAY/Apr17-M-2011/
