location,parameter,dss file,dss path
Folsom Dyke 8,Wind Speed,forecast/simGroups/T2018/bc.dss,/MR Am.-Folsom Lake/Dyke 8 (FLD)-Wind Speed/Speed-Wind//1Hour/MAR50-2018-Historic-2014/
Folsom Dyke 8,Wind Direction,forecast/simGroups/T2018/bc.dss,/MR Am.-Folsom Lake/Dyke 8 (FLD)-Wind Direction/Dir-Wind//1Hour/MAR50-2018-Historic-2014/
Fair Oaks,Air Temperature,forecast/simGroups/T2018/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Air Temp/Temp-Air//1Hour/MAR50-2018-Historic-2014/
Fair Oaks,DewPoint Temperature,forecast/simGroups/T2018/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Dew Point Temp/Temp-DewPoint//1Hour/MAR50-2018-Historic-2014/
Fair Oaks,Wind Speed,forecast/simGroups/T2018/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Wind Speed/Speed-Wind//1Hour/MAR50-2018-Historic-2014/
Fair Oaks,Wind Direction,forecast/simGroups/T2018/bc.dss,/MR Am.-Natoma Lake/Fair Oaks-Wind Direction/Dir-Wind//1Hour/MAR50-2018-Historic-2014/
Mather AFB,Cloudiness,forecast/simGroups/T2018/bc.dss,/AMERICAN/MATHER AFB/CLOUD//1HOUR/MAR50-2018-Historic-2014/
Fair Oaks,Shortwave Radiation,forecast/simGroups/T2018/bc.dss,/AMERICAN/FAIR OAKS/SHORTWAVE RADIATION//1HOUR/MAR50-2018-Historic-2014/
FOLSOM,INFLOW,forecast/simGroups/T2018/bc.dss,//FOLSOM/INFLOW//1MON/MAR50-2018-Historic-2014/
FOLSOM,FLOW-IN,forecast/simGroups/T2018/bc.dss,//FOLSOM/FLOW-IN//1DAY/MAR50-2018-Historic-2014/
FOLSOM,EST. EVAP.,forecast/simGroups/T2018/bc.dss,//FOLSOM/EST. EVAP.//1MON/MAR50-2018-Historic-2014/
FOLSOM,TOTAL RELEASE,forecast/simGroups/T2018/bc.dss,//FOLSOM/TOTAL RELEASE//1MON/MAR50-2018-Historic-2014/
FOLSOM,FLOW-RELEASE,forecast/simGroups/T2018/bc.dss,//FOLSOM/FLOW-RELEASE//1HOUR/MAR50-2018-Historic-2014/
FOLSOM,PUMPING (FP),forecast/simGroups/T2018/bc.dss,//FOLSOM/PUMPING (FP)//1MON/MAR50-2018-Historic-2014/
FOLSOM,FLOW-PUMPING,forecast/simGroups/T2018/bc.dss,//FOLSOM/PUMPING (FP)//1DAY/MAR50-2018-Historic-2014/
FOLSOM,FS CANAL (FSC),forecast/simGroups/T2018/bc.dss,//FOLSOM/FS CANAL (FSC)//1MON/MAR50-2018-Historic-2014/
FOLSOM,FLOW-FSC,forecast/simGroups/T2018/bc.dss,//FOLSOM/FS CANAL (FSC)//1DAY/MAR50-2018-Historic-2014/
FOLSOM,FLOW-NIMBUS MINIMUM (CFS),forecast/simGroups/T2018/bc.dss,//FOLSOM/FLOW-NIMBUS MINIMUM (CFS)//1MON/MAR50-2018-Historic-2014/
FOLSOM,NIMBUS MINIMUM (TAF),forecast/simGroups/T2018/bc.dss,//FOLSOM/NIMBUS MINIMUM (TAF)//1MON/MAR50-2018-Historic-2014/
LAKE NATOMA,ACTUAL NIMBUS RELEASE (TAF),forecast/simGroups/T2018/bc.dss,/AMERICAN RIVER/LAKE NATOMA/ACTUAL NIMBUS RELEASE (TAF)//1MON/MAR50-2018-Historic-2014/
LAKE NATOMA,FLOW-NIMBUS ACTUAL,forecast/simGroups/T2018/bc.dss,/AMERICAN RIVER/LAKE NATOMA/FLOW-NIMBUS ACTUAL//1DAY/MAR50-2018-Historic-2014/
